bins,N_F127,N_F139
2.5485606355358855e-15,510.0,705.0
2.622979949680501e-15,435.0,725.0
2.6995723470315876e-15,457.0,699.0
2.7784012827644054e-15,399.0,730.0
2.8595320649788023e-15,417.0,621.0
2.9430319088055566e-15,422.0,603.0
3.0289699920927044e-15,433.0,628.0
3.117417512717916e-15,376.0,656.0
3.2084477475744167e-15,386.0,566.0
3.3021361132793665e-15,375.0,551.0
3.3985602286548854e-15,332.0,502.0
3.497799979033626e-15,328.0,515.0
3.599937582442068e-15,360.0,521.0
3.705057657716406e-15,349.0,482.0
3.81324729460748e-15,347.0,478.0
3.924596125932747e-15,294.0,464.0
4.0391964018351955e-15,311.0,425.0
4.157143066210622e-15,306.0,429.0
4.278533835366627e-15,301.0,418.0
4.403469278978533e-15,250.0,381.0
4.532052903409176e-15,266.0,406.0
4.664391237461765e-15,244.0,367.0
4.800593920636722e-15,271.0,373.0
4.940773793965673e-15,273.0,380.0
5.085046993497887e-15,215.0,355.0
5.23353304651647e-15,255.0,347.0
5.386354970564215e-15,214.0,352.0
5.543639375361021e-15,194.0,320.0
5.7055165676973445e-15,227.0,313.0
5.8721206593906534e-15,182.0,318.0
6.043589678394156e-15,197.0,278.0
6.220065683150072e-15,197.0,268.0
6.401694880282028e-15,202.0,294.0
6.588627745724124e-15,224.0,274.0
6.781019149387109e-15,209.0,265.0
6.979028483464728e-15,168.0,263.0
7.182819794486832e-15,146.0,237.0
7.392561919228425e-15,145.0,257.0
7.608428624587334e-15,168.0,242.0
7.830598751546466e-15,167.0,233.0
8.059256363339657e-15,171.0,242.0
8.294590897944229e-15,129.0,212.0
8.536797325026309e-15,159.0,215.0
8.786076307469048e-15,141.0,224.0
9.042634367617622e-15,148.0,192.0
9.306684058378515e-15,127.0,183.0
9.578444139315152e-15,130.0,174.0
9.85813975788554e-15,140.0,210.0
1.0146002635972133e-14,118.0,184.0
1.044227126185858e-14,100.0,152.0
1.0747191087812082e-14,107.0,160.0
1.106101473343546e-14,132.0,158.0
1.1384002194957117e-14,109.0,176.0
1.1716421060632373e-14,129.0,145.0
1.2058546732434746e-14,118.0,141.0
1.2410662654220494e-14,88.0,118.0
1.2773060546555939e-14,90.0,144.0
1.3146040648401728e-14,100.0,139.0
1.3529911965854418e-14,101.0,120.0
1.3924992528151577e-14,82.0,122.0
1.433160965115208e-14,86.0,128.0
1.4750100208510485e-14,81.0,124.0
1.518081091076964e-14,77.0,102.0
1.5624098592603016e-14,73.0,118.0
1.6080330508444753e-14,79.0,111.0
1.6549884636751993e-14,95.0,118.0
1.7033149993152124e-14,71.0,98.0
1.7530526952733943e-14,68.0,96.0
1.804242758174988e-14,68.0,90.0
1.8569275979004276e-14,70.0,85.0
1.911150862721004e-14,65.0,73.0
1.966957475460544e-14,43.0,87.0
2.0243936707130146e-14,67.0,95.0
2.0835070331468946e-14,63.0,78.0
