bins,N_F127,N_F139
6.781019149387109e-14,10.0,13.0
6.979028483464727e-14,10.0,14.0
7.182819794486831e-14,7.0,12.0
7.392561919228423e-14,7.0,8.0
7.608428624587334e-14,12.0,9.0
7.830598751546467e-14,11.0,14.0
8.059256363339658e-14,5.0,7.0
8.29459089794423e-14,13.0,6.0
8.536797325026309e-14,9.0,6.0
8.786076307469047e-14,5.0,13.0
9.042634367617622e-14,8.0,19.0
9.306684058378516e-14,8.0,9.0
9.578444139315151e-14,6.0,7.0
9.858139757885539e-14,5.0,8.0
1.0146002635972132e-13,12.0,11.0
1.0442271261858581e-13,10.0,5.0
1.0747191087812105e-13,7.0,7.0
1.1061014733435482e-13,3.0,8.0
1.1384002194957117e-13,7.0,5.0
1.1716421060632373e-13,7.0,19.0
1.2058546732434745e-13,6.0,5.0
1.2410662654220518e-13,2.0,7.0
1.2773060546555964e-13,4.0,2.0
1.3146040648401728e-13,4.0,5.0
1.352991196585442e-13,1.0,7.0
1.3924992528151575e-13,2.0,5.0
1.433160965115211e-13,10.0,2.0
1.4750100208510513e-13,6.0,6.0
1.518081091076964e-13,4.0,2.0
1.5624098592603015e-13,5.0,4.0
1.608033050844475e-13,5.0,4.0
1.6549884636752027e-13,5.0,7.0
1.7033149993152162e-13,4.0,2.0
1.7530526952733945e-13,3.0,6.0
1.804242758174988e-13,4.0,5.0
1.8569275979004274e-13,1.0,7.0
1.9111508627210078e-13,2.0,5.0
1.9669574754605482e-13,2.0,2.0
2.0243936707130145e-13,5.0,1.0
2.0835070331468949e-13,3.0,3.0
2.1443465369280838e-13,3.0,4.0
2.2069625862939358e-13,1.0,2.0
2.271407057312098e-13,1.0,1.0
2.3377333408587526e-13,2.0,0.0
2.405996386851816e-13,0.0,0.0
2.476252749775779e-13,0.0,2.0
2.5485606355358903e-13,2.0,0.0
2.6229799496805067e-13,1.0,3.0
2.699572347031588e-13,1.0,2.0
2.778401282764405e-13,3.0,0.0
2.859532064978803e-13,3.0,2.0
2.943031908805563e-13,1.0,0.0
3.0289699920927106e-13,2.0,2.0
3.1174175127179155e-13,0.0,2.0
3.208447747574416e-13,2.0,0.0
3.3021361132793665e-13,1.0,0.0
3.3985602286548926e-13,0.0,3.0
3.4977999790336326e-13,1.0,1.0
3.5999375824420686e-13,1.0,1.0
3.7050576577164067e-13,0.0,1.0
3.8132472946074804e-13,4.0,2.0
3.924596125932755e-13,1.0,3.0
4.0391964018352037e-13,1.0,1.0
4.157143066210622e-13,1.0,0.0
4.278533835366627e-13,2.0,1.0
4.403469278978533e-13,1.0,2.0
4.532052903409186e-13,1.0,1.0
4.664391237461774e-13,0.0,1.0
4.800593920636722e-13,0.0,0.0
4.940773793965673e-13,1.0,0.0
5.085046993497888e-13,1.0,0.0
5.23353304651648e-13,0.0,0.0
5.386354970564226e-13,1.0,0.0
5.54363937536102e-13,0.0,0.0
5.705516567697344e-13,2.0,1.0
5.872120659390653e-13,1.0,3.0
6.043589678394168e-13,0.0,2.0
6.220065683150085e-13,0.0,0.0
6.401694880282028e-13,0.0,0.0
6.588627745724124e-13,0.0,1.0
6.781019149387108e-13,0.0,0.0
6.979028483464741e-13,0.0,0.0
7.182819794486845e-13,0.0,1.0
7.392561919228423e-13,2.0,0.0
7.608428624587335e-13,0.0,2.0
7.830598751546467e-13,0.0,0.0
8.059256363339674e-13,0.0,0.0
8.294590897944246e-13,0.0,0.0
8.536797325026308e-13,0.0,0.0
8.786076307469046e-13,0.0,0.0
9.042634367617621e-13,0.0,0.0
9.306684058378534e-13,0.0,0.0
9.57844413931517e-13,1.0,1.0
9.858139757885538e-13,0.0,0.0
